currency,date,rate
EUR,08-01-20,1
EUR,08-02-20,1
EUR,08-03-20,1
EUR,08-04-20,1
EUR,08-05-20,1
EUR,08-06-20,1
EUR,08-07-20,1
EUR,08-08-20,1
EUR,08-09-20,1
EUR,08-10-20,1
GBP,08-01-20,0.900185
GBP,08-02-20,0.899325
GBP,08-03-20,0.89935
GBP,08-04-20,0.902815
GBP,08-05-20,0.9045
GBP,08-06-20,0.903835
GBP,08-07-20,0.90286
GBP,08-08-20,0.9032
GBP,08-09-20,0.90278
GBP,08-10-20,0.89775
USD,08-01-20,1.17776
USD,08-02-20,1.178035
USD,08-03-20,1.17625
USD,08-04-20,1.181445
USD,08-05-20,1.187255
USD,08-06-20,1.18759
USD,08-07-20,1.178785
USD,08-08-20,1.1787
USD,08-09-20,1.17845
USD,08-10-20,1.173745
AUD,08-01-20,1.648971
AUD,08-02-20,1.64864
AUD,08-03-20,1.65238
AUD,08-04-20,1.646355
AUD,08-05-20,1.64913
AUD,08-06-20,1.64212
AUD,08-07-20,1.646397
AUD,08-08-20,1.646948
AUD,08-09-20,1.646306
AUD,08-10-20,1.6408
CAD,08-01-20,1.579445
CAD,08-02-20,1.57857
CAD,08-03-20,1.575375
CAD,08-04-20,1.570995
CAD,08-05-20,1.5749
CAD,08-06-20,1.581525
CAD,08-07-20,1.5779
CAD,08-08-20,1.5778
CAD,08-09-20,1.57741
CAD,08-10-20,1.56759
NZD,08-01-20,1.777575
NZD,08-02-20,1.7754
NZD,08-03-20,1.778
NZD,08-04-20,1.77774
NZD,08-05-20,1.78604
NZD,08-06-20,1.776745
NZD,08-07-20,1.786125
NZD,08-08-20,1.786725
NZD,08-09-20,1.785
NZD,08-10-20,1.7806
HKD,08-01-20,9.12947
HKD,08-02-20,9.13117
HKD,08-03-20,9.1156
HKD,08-04-20,9.156815
HKD,08-05-20,9.201275
HKD,08-06-20,9.2051
HKD,08-07-20,9.134575
HKD,08-08-20,9.13702
HKD,08-09-20,9.131855
HKD,08-10-20,9.097595
CHF,08-01-20,1.075795
CHF,08-02-20,1.076325
CHF,08-03-20,1.079215
CHF,08-04-20,1.078265
CHF,08-05-20,1.078185
CHF,08-06-20,1.080625
CHF,08-07-20,1.07563
CHF,08-08-20,1.07555
CHF,08-09-20,1.075405
CHF,08-10-20,1.07485
SEK,08-01-20,10.34372
SEK,08-02-20,10.34182
SEK,08-03-20,10.2904
SEK,08-04-20,10.301
SEK,08-05-20,10.27217
